Device name,Serial number,Platform,App name,Version
delete-user-test,VMP4FUPM48DN,Mac,1Password 7,7.8.7
autoapps-vm6,VMQVFDRPUDXR,Mac,1Password 7,7.8.7
autoapps-vm4,VM9E9AKNGF8N,Mac,1Password 7,7.8.8
autoapps-prd-vm2,C02YD0DJT90K,Mac,8x8 Work,7.9.4
autoapps-prd’-vm3,C02YD0DKK02K,Mac,8x8 Work,7.9.4
autoapps-vm6,VMQVFDRPUDXR,Mac,Abstract,98.0.5
autoapps-vm4,VM9E9AKNGF8N,Mac,Abstract,98.0.5
Peter’s Mac,VMBTWSFTQANN,Mac,Activity Monitor,10.14
autoapps-prd-vm2,C02YD0DJT90K,Mac,Activity Monitor,10.14
delete-user-test,VMP4FUPM48DN,Mac,Activity Monitor,10.14
Captain America,C02YD0DJCI95,Mac,Activity Monitor,10.14
Internal - Matt Wilson - VMmPx2hwhR4z,VMMPX2HWHR4Z,Mac,Activity Monitor,10.14
autoapps-webex-test,VMWE0U7FBY5R,Mac,Activity Monitor,10.14
autoapps-prd’-vm3,C02YD0DKK02K,Mac,Activity Monitor,10.14
general-testing-vm,VMPODNSEMFFX,Mac,Activity Monitor,10.14
macos-11.6.1-ad-general,VMCY7EHIUJ8U,Mac,Activity Monitor,10.14
autoapps-vm6,VMQVFDRPUDXR,Mac,Activity Monitor,10.14
autoapps-vm4,VM9E9AKNGF8N,Mac,Activity Monitor,10.14
crowdstrike-falcon-test,VM0CJ7QW0S1Q,Mac,Activity Monitor,10.14
testuser’s MacBook Air,C02FL5YXQ6LC,Mac,Activity Monitor,10.14
macos-server,VMQQPELMCD7N,Mac,Activity Monitor,10.14
testuser-intunetest,C02YD0DJT80K,Mac,Activity Monitor,10.14
AVENGER VMp6p1TC8pPG,VMP6P1TC8PPG,Mac,Activity Monitor,10.14
Peter’s Mac,VMBTWSFTQANN,Mac,AirPort Utility,6.3.9
autoapps-prd-vm2,C02YD0DJT90K,Mac,AirPort Utility,6.3.9
delete-user-test,VMP4FUPM48DN,Mac,AirPort Utility,6.3.9
Captain America,C02YD0DJCI95,Mac,AirPort Utility,6.3.9
Internal - Matt Wilson - VMmPx2hwhR4z,VMMPX2HWHR4Z,Mac,AirPort Utility,6.3.9
autoapps-webex-test,VMWE0U7FBY5R,Mac,AirPort Utility,6.3.9
autoapps-prd’-vm3,C02YD0DKK02K,Mac,AirPort Utility,6.3.9
general-testing-vm,VMPODNSEMFFX,Mac,AirPort Utility,6.3.9
macos-11.6.1-ad-general,VMCY7EHIUJ8U,Mac,AirPort Utility,6.3.9
autoapps-vm6,VMQVFDRPUDXR,Mac,AirPort Utility,6.3.9
autoapps-vm4,VM9E9AKNGF8N,Mac,AirPort Utility,6.3.9
crowdstrike-falcon-test,VM0CJ7QW0S1Q,Mac,AirPort Utility,6.3.9
testuser’s MacBook Air,C02FL5YXQ6LC,Mac,AirPort Utility,6.3.9
macos-server,VMQQPELMCD7N,Mac,AirPort Utility,6.3.9
testuser-intunetest,C02YD0DJT80K,Mac,AirPort Utility,6.3.9
AVENGER VMp6p1TC8pPG,VMP6P1TC8PPG,Mac,AirPort Utility,6.3.9
Peter’s Mac,VMBTWSFTQANN,Mac,App Store,3.0
autoapps-prd-vm2,C02YD0DJT90K,Mac,App Store,3.0
delete-user-test,VMP4FUPM48DN,Mac,App Store,3.0
Captain America,C02YD0DJCI95,Mac,App Store,3.0
Internal - Matt Wilson - VMmPx2hwhR4z,VMMPX2HWHR4Z,Mac,App Store,3.0
autoapps-webex-test,VMWE0U7FBY5R,Mac,App Store,3.0
autoapps-prd’-vm3,C02YD0DKK02K,Mac,App Store,3.0
general-testing-vm,VMPODNSEMFFX,Mac,App Store,3.0
macos-11.6.1-ad-general,VMCY7EHIUJ8U,Mac,App Store,3.0
autoapps-vm6,VMQVFDRPUDXR,Mac,App Store,3.0
autoapps-vm4,VM9E9AKNGF8N,Mac,App Store,3.0
crowdstrike-falcon-test,VM0CJ7QW0S1Q,Mac,App Store,3.0
testuser’s MacBook Air,C02FL5YXQ6LC,Mac,App Store,3.0
macos-server,VMQQPELMCD7N,Mac,App Store,3.0
testuser-intunetest,C02YD0DJT80K,Mac,App Store,3.0
AVENGER VMp6p1TC8pPG,VMP6P1TC8PPG,Mac,App Store,3.0
autoapps-prd-vm2,C02YD0DJT90K,Mac,Apparency,1.2
delete-user-test,VMP4FUPM48DN,Mac,Apparency,1.2
Internal - Matt Wilson - VMmPx2hwhR4z,VMMPX2HWHR4Z,Mac,Apparency,1.2
autoapps-webex-test,VMWE0U7FBY5R,Mac,Apparency,1.2
autoapps-prd’-vm3,C02YD0DKK02K,Mac,Apparency,1.2
autoapps-vm6,VMQVFDRPUDXR,Mac,Apparency,1.2
autoapps-vm4,VM9E9AKNGF8N,Mac,Apparency,1.2
crowdstrike-falcon-test,VM0CJ7QW0S1Q,Mac,Apparency,1.2
testuser’s MacBook Air,C02FL5YXQ6LC,Mac,Apparency,1.2
autoapps-vm6,VMQVFDRPUDXR,Mac,Apple Configurator 2,2.14
autoapps-prd-vm2,C02YD0DJT90K,Mac,Atom,1.57.0
delete-user-test,VMP4FUPM48DN,Mac,Atom,1.58.0
Internal - Matt Wilson - VMmPx2hwhR4z,VMMPX2HWHR4Z,Mac,Atom,1.58.0
autoapps-prd’-vm3,C02YD0DKK02K,Mac,Atom,1.57.0
general-testing-vm,VMPODNSEMFFX,Mac,Atom,1.57.0
autoapps-vm6,VMQVFDRPUDXR,Mac,Atom,1.58.0
autoapps-vm4,VM9E9AKNGF8N,Mac,Atom,1.58.0
Peter’s Mac,VMBTWSFTQANN,Mac,Audio MIDI Setup,3.5
autoapps-prd-vm2,C02YD0DJT90K,Mac,Audio MIDI Setup,3.5
delete-user-test,VMP4FUPM48DN,Mac,Audio MIDI Setup,3.5
Captain America,C02YD0DJCI95,Mac,Audio MIDI Setup,3.5
Internal - Matt Wilson - VMmPx2hwhR4z,VMMPX2HWHR4Z,Mac,Audio MIDI Setup,3.5
autoapps-webex-test,VMWE0U7FBY5R,Mac,Audio MIDI Setup,3.5
autoapps-prd’-vm3,C02YD0DKK02K,Mac,Audio MIDI Setup,3.5
general-testing-vm,VMPODNSEMFFX,Mac,Audio MIDI Setup,3.5
macos-11.6.1-ad-general,VMCY7EHIUJ8U,Mac,Audio MIDI Setup,3.5
autoapps-vm6,VMQVFDRPUDXR,Mac,Audio MIDI Setup,3.5
autoapps-vm4,VM9E9AKNGF8N,Mac,Audio MIDI Setup,3.5
crowdstrike-falcon-test,VM0CJ7QW0S1Q,Mac,Audio MIDI Setup,3.5
testuser’s MacBook Air,C02FL5YXQ6LC,Mac,Audio MIDI Setup,3.5
macos-server,VMQQPELMCD7N,Mac,Audio MIDI Setup,3.5
testuser-intunetest,C02YD0DJT80K,Mac,Audio MIDI Setup,3.5
AVENGER VMp6p1TC8pPG,VMP6P1TC8PPG,Mac,Audio MIDI Setup,3.5
Peter’s Mac,VMBTWSFTQANN,Mac,Automator,2.10
autoapps-prd-vm2,C02YD0DJT90K,Mac,Automator,2.10
delete-user-test,VMP4FUPM48DN,Mac,Automator,2.10
Captain America,C02YD0DJCI95,Mac,Automator,2.10
Internal - Matt Wilson - VMmPx2hwhR4z,VMMPX2HWHR4Z,Mac,Automator,2.10
autoapps-webex-test,VMWE0U7FBY5R,Mac,Automator,2.10
autoapps-prd’-vm3,C02YD0DKK02K,Mac,Automator,2.10
general-testing-vm,VMPODNSEMFFX,Mac,Automator,2.10
macos-11.6.1-ad-general,VMCY7EHIUJ8U,Mac,Automator,2.10
autoapps-vm6,VMQVFDRPUDXR,Mac,Automator,2.10
autoapps-vm4,VM9E9AKNGF8N,Mac,Automator,2.10
crowdstrike-falcon-test,VM0CJ7QW0S1Q,Mac,Automator,2.10
testuser’s MacBook Air,C02FL5YXQ6LC,Mac,Automator,2.10
macos-server,VMQQPELMCD7N,Mac,Automator,2.10
testuser-intunetest,C02YD0DJT80K,Mac,Automator,2.10
AVENGER VMp6p1TC8pPG,VMP6P1TC8PPG,Mac,Automator,2.10
autoapps-vm6,VMQVFDRPUDXR,Mac,BlueJeans,2.31.0
autoapps-vm4,VM9E9AKNGF8N,Mac,BlueJeans,2.31.0
Peter’s Mac,VMBTWSFTQANN,Mac,Bluetooth File Exchange,8.0.4
autoapps-prd-vm2,C02YD0DJT90K,Mac,Bluetooth File Exchange,8.0.5
delete-user-test,VMP4FUPM48DN,Mac,Bluetooth File Exchange,8.0.5
Captain America,C02YD0DJCI95,Mac,Bluetooth File Exchange,8.0.3
Internal - Matt Wilson - VMmPx2hwhR4z,VMMPX2HWHR4Z,Mac,Bluetooth File Exchange,8.0.5
autoapps-webex-test,VMWE0U7FBY5R,Mac,Bluetooth File Exchange,8.0.5
autoapps-prd’-vm3,C02YD0DKK02K,Mac,Bluetooth File Exchange,7.0.6
general-testing-vm,VMPODNSEMFFX,Mac,Bluetooth File Exchange,8.0.5
macos-11.6.1-ad-general,VMCY7EHIUJ8U,Mac,Bluetooth File Exchange,8.0.5
autoapps-vm6,VMQVFDRPUDXR,Mac,Bluetooth File Exchange,8.0.5
autoapps-vm4,VM9E9AKNGF8N,Mac,Bluetooth File Exchange,7.0.6
crowdstrike-falcon-test,VM0CJ7QW0S1Q,Mac,Bluetooth File Exchange,8.0.5
testuser’s MacBook Air,C02FL5YXQ6LC,Mac,Bluetooth File Exchange,9.0
macos-server,VMQQPELMCD7N,Mac,Bluetooth File Exchange,8.0.5
testuser-intunetest,C02YD0DJT80K,Mac,Bluetooth File Exchange,8.0.5
AVENGER VMp6p1TC8pPG,VMP6P1TC8PPG,Mac,Bluetooth File Exchange,8.0.5
Peter’s Mac,VMBTWSFTQANN,Mac,Books,3.2
autoapps-prd-vm2,C02YD0DJT90K,Mac,Books,3.2
delete-user-test,VMP4FUPM48DN,Mac,Books,3.2
Captain America,C02YD0DJCI95,Mac,Books,3.1
Internal - Matt Wilson - VMmPx2hwhR4z,VMMPX2HWHR4Z,Mac,Books,3.2
autoapps-webex-test,VMWE0U7FBY5R,Mac,Books,3.2
autoapps-prd’-vm3,C02YD0DKK02K,Mac,Books,2.4
general-testing-vm,VMPODNSEMFFX,Mac,Books,3.2
macos-11.6.1-ad-general,VMCY7EHIUJ8U,Mac,Books,3.2
autoapps-vm6,VMQVFDRPUDXR,Mac,Books,3.2
autoapps-vm4,VM9E9AKNGF8N,Mac,Books,2.4
crowdstrike-falcon-test,VM0CJ7QW0S1Q,Mac,Books,3.2
testuser’s MacBook Air,C02FL5YXQ6LC,Mac,Books,4.1
macos-server,VMQQPELMCD7N,Mac,Books,3.2
testuser-intunetest,C02YD0DJT80K,Mac,Books,3.2
AVENGER VMp6p1TC8pPG,VMP6P1TC8PPG,Mac,Books,3.2
